count,type,codename,friendlyname,review
5,error,FE_GenRuleLeftBracketExpected,gen rule left bracket expected,
5,error,FE_GenRuleMixedConnectors,gen rule mixed connectors,
5,error,FE_GenRuleRightBracketExpected,gen rule right bracket expected,
5,error,FE_GenRuleSyntaxError,gen rule syntax error,
4,error,FE_BadDelete,bad delete,
4,error,FE_BadKey,bad key,
4,error,FE_BadSelectionForOperati,bad selection for operati,
4,error,FE_CMSBadCommandId,content management system bad command id,
4,error,FE_FilterFailed,filter failed,
4,error,FE_KeyCatalogIsStale,key catalog is stale,
4,error,FE_NonDITADocument,non dita document,
4,error,FE_NotBookComponent,not book component,
4,error,FE_SystemErr,system err,
4,error,FE_TypeUnNamed,type un named,
3,error,FE_BadBookId,bad book id,
3,error,FE_BadCompare,bad compare,
3,error,FE_BadFileType,bad file type,
3,error,FE_BadInsertPos,bad insert position,
3,error,FE_BadKeyField,bad key field,
3,error,FE_BadValue,bad value,
3,error,FE_CMSBadItemContainerType,content management system bad item container type,
3,error,FE_CMSBadItemFileType,content management system bad item file type,
3,error,FE_CMSBadItemType,content management system bad item type,
3,error,FE_CMSRootObjectExists,content management system root object exists,
3,error,FE_CompareTypes,compare types,
3,error,FE_DocModified,document modified,
3,error,FE_DupName,duplicate name,
3,error,FE_KeyDefinitionDoesNotExist,key definition does not exist,
3,error,FE_MissingFile,missing file,
3,error,FE_NameNotFound,name not found,
3,error,FE_NotBodyPage,not body page,
3,error,FE_NotFrame,not frame,
3,error,FE_SomeUnresolved,some unresolved,
3,error,FE_Transport,transport,
2,error,FE_BadCompPath,bad comp path,
2,error,FE_BadDoc,bad document,
2,error,FE_BadElementDefId,bad element definition id,
2,error,FE_BadElementId,bad element id,
2,error,FE_BadFilterType,bad filter type,
2,error,FE_BadNewFrame,bad new frame,
2,error,FE_BadNewGroup,bad new group,
2,error,FE_BadNewSibling,bad new sibling,
2,error,FE_BookUnStructured,book un structured,
2,error,FE_CMSFailedGetItemFrompath,content management system failed get item frompath,
2,error,FE_CMSFailedLogout,content management system failed logout,
2,error,FE_CMSObjectCreationFailed,content management system object creation failed,
2,error,FE_CantSmooth,cant smooth,
2,error,FE_CircularReference,circular reference,
2,error,FE_GroupSelect,group select,
2,error,FE_HiddenPage,hidden page,
2,error,FE_InvAttribute,invalid attribute,
2,error,FE_KeyDefinitionAlreadyExists,key definition already exists,
2,error,FE_NoSuchFlow,no such flow,
2,error,FE_NotCommand,not command,
2,error,FE_NotFound,not found,
2,error,FE_NotGraphic,not graphic,
2,error,FE_NotGroup,not group,
2,error,FE_NotPgf,not paragraph,
2,error,FE_NotTextFrame,not text frame,
2,error,FE_PageFrame,page frame,
2,error,FE_TableInLockedTi,table in locked text inset,
2,error,FE_UpdateDITAReferenceFailed,update dita reference failed,
2,error,FE_UpdateDITAReferenceFailedCannotConvertToFMObject,update dita reference failed cannot convert to fm object,
2,error,FE_UpdateDITAReferenceFailedCannotResolveReference,update dita reference failed cannot resolve reference,
2,error,FE_UpdateDITAReferenceFailedInvalidElementType,update dita reference failed invalid element type,
2,error,FE_WithinFrame,within frame,
1,error,FE_AcceptRejectCalledOnWrongPreviewState,accept reject called on wrong preview state,
1,error,FE_AsianSystemRequired,asian system required,
1,error,FE_BadBaseColor,bad base color,
1,error,FE_BadContainer,bad container,
